VIF Factor,features
1.280924500277886,X1
1.294198633260898,X5
1.350796434611623,X11
1.3737200717944167,X15
1.3545411038006088,X20
1.5720062421075771,X24
2.16611571852352,X28
2.458095528452159,X31
3.654287760676543,X35
3.0976376876939016,X37
1.3642286185968922,X43
1.564251380229898,X47
1.6240317865311686,X51
2.1070053966956244,X55
2.2124834323411045,X58
1.707699205910918,X62
1.5901651351482162,X66
1.9042021844658623,X70
4.283068122843427,X74
4.029650995298578,X76
1.5586278908793105,X80
1.5009623475035976,X85
2.091492140834621,X89
2.036391081392887,X92
1.611992253500347,X96
1.7293453915254131,X100
1.7857549904725878,X104
3.893547263323058,X108
3.5724467031859493,X110
1.471374208812335,X115
1.488676679917202,X119
1.5591855179121954,X123
1.4027985912816476,X127
3.3336250566302277,X133
4.208002214358779,X135
4.895697474874763,X139
4.424143677234917,X141
1.528928460046425,X145
1.419406840001137,X150
2.179283040872568,X154
2.2827390326951638,X157
1.6469931408061684,X161
1.3941822021678496,X165
1.4000859144949276,X169
1.309614120310632,X173
1.1087843762325837,X178
